,id_fifa,nom_jugad,num_pos,equipo,liga,edad,apariciones_totales,min_jugados,tirosXp,pasesXp,regatesXp,faltadoXp,fuerajuegoXp,robadoXp,malcontroXp,goles_esperados,xGDiff,xG/90,total_disparos,xG/Shots,rating,goles
384,228579,Benjamin Henrichs,5,RBL,Ger,27,10,485,0.8,0.9,0.5,0.4,0.0,0.3,0.7,0.26,-0.26,0.05,8,0.03,6.88,0
385,200726,Benjamin Lecomte,0,Atletico,Esp,33,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0
387,226851,Benjamin Pavard,5,Inter,Ita,28,10,763,0.4,0.6,0.0,0.5,0.1,0.0,0.3,0.27,-0.27,0.03,4,0.07,6.81,0
388,263617,Benjamin Sesko,10,RBL,Ger,21,10,674,1.7,0.4,0.8,0.2,0.3,1.4,1.0,2.4,0.6,0.32,17,0.14,6.93,3
389,263617,Benjamin Tahirovic,2,Ajax,Ned,21,1,77,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,6.19,0
390,263617,Benjamín Domínguez,5,Bologna,Ita,21,1,63,2.0,0.0,0.0,4.0,0.0,4.0,3.0,0.1,-0.1,0.14,2,0.05,6.65,0
391,263617,Benjamín Rollheiser,10,Benfica,Por,24,5,108,0.4,0.4,0.6,0.2,0.0,0.6,0.6,0.92,0.08,0.76,2,0.46,6.54,1
392,263617,Benny,5,Moreirense,Por,26,9,297,0.7,0.7,0.6,0.4,0.0,1.0,1.0,0.28,0.72,0.08,6,0.05,6.46,1
393,263617,Benoît Badiashile,2,Chelsea,Ing,23,1,37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.72,0
394,263670,Beraldo,2,PSG,Fra,20,8,663,0.1,0.4,0.0,0.6,0.1,0.3,0.5,0.02,-0.02,0.0,1,0.02,6.44,0
395,208165,Berat Djimsiti,2,Atalanta,Ita,31,11,924,0.5,0.3,0.1,0.8,0.0,0.0,0.3,0.58,-0.58,0.06,5,0.12,6.85,0
396,263670,Beres Owusu,2,Saint-Etienne,Fra,21,1,90,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,6.68,0
397,218667,Bernardo Silva,10,Man City,Ing,30,11,834,1.5,2.1,1.1,0.5,0.2,1.0,0.5,1.78,-1.78,0.19,17,0.1,6.81,0
398,263670,Bernardo Vital,2,Estoril,Por,23,1,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.02,0.07,1,0.02,6.26,0
399,192563,Bernd Leno,0,Fulham,Ing,32,11,990,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.67,0
400,263670,Bertrand Traoré,10,Ajax,Ned,29,11,587,1.9,1.4,1.5,0.9,0.3,1.3,1.8,3.05,0.95,0.47,21,0.15,7.12,4
401,251892,Beto,10,Everton,Ing,26,7,96,0.6,0.0,0.3,0.4,0.3,0.1,1.0,1.22,-0.22,1.14,4,0.3,6.21,1
402,263617,Beñat Turrientes,5,Real Sociedad,Esp,22,8,201,0.9,0.4,0.9,0.4,0.0,0.4,0.3,0.38,-0.38,0.17,7,0.05,6.29,0
403,0,Bilal El Khannouss,5,Leicester,Ing,20,7,199,0.3,0.7,0.0,0.1,0.0,0.7,0.7,0.11,-0.11,0.05,2,0.06,6.17,0
404,0,Bilal Mazhar,10,Estrela da Amadora,Por,20,1,8,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.04,-0.04,0.44,1,0.04,6.62,0
405,263987,Billal Brahimi,10,Nice,Fra,24,2,76,0.5,0.5,0.0,0.0,0.0,1.5,0.0,0.03,-0.03,0.04,1,0.03,6.23,0
406,245992,Billy Gilmour,2,Brighton,Ing,23,2,98,0.5,0.0,0.5,1.5,0.0,0.0,0.0,0.12,-0.12,0.11,1,0.12,6.42,0
410,209698,Birama Touré,2,Montpellier,Fra,32,7,297,0.4,0.4,0.0,0.7,0.0,0.0,0.9,0.04,-0.04,0.01,3,0.01,6.17,0
411,240906,Bobby Adekanye,10,Go Ahead Eagles,Ned,25,12,779,1.4,0.6,1.0,1.1,0.1,1.0,1.3,1.45,-0.45,0.17,17,0.09,6.42,1
412,0,Bobby De Cordova-Reid,10,Leicester,Ing,31,6,161,0.5,0.2,0.0,0.2,0.3,0.7,0.3,0.06,-0.06,0.03,3,0.02,6.04,0
413,224179,Boris Lambert,5,Willem II,Ned,24,9,406,0.1,0.0,0.4,0.2,0.0,0.3,0.6,0.01,-0.01,0.0,1,0.01,6.44,0
414,224179,Boris Popovic,2,Arouca,Por,24,7,544,0.1,0.0,0.1,0.3,0.0,0.1,0.3,0.05,-0.05,0.01,1,0.05,6.34,0
415,224179,Borja Iglesias,10,Real Betis,Esp,31,33,1574,1.2,0.5,0.4,0.9,0.2,0.9,1.4,7.77,2.23,0.44,38,0.2,6.55,10
416,228635,Borja Mayoral,10,Getafe,Esp,27,18,1049,0.9,0.7,0.8,1.1,0.2,0.9,1.4,2.88,3.12,0.25,17,0.17,6.68,6
417,243388,Borna Sosa,5,Torino,Ita,26,7,335,0.3,0.1,0.0,0.1,0.0,0.0,0.3,0.03,-0.03,0.01,2,0.01,6.27,0
418,0,Botond Balogh,2,Parma Calcio 1913,Ita,22,12,967,0.2,0.2,0.0,0.4,0.0,0.1,0.6,0.21,-0.21,0.02,2,0.11,6.74,0
419,240951,Boubacar Kamara,5,Aston Villa,Ing,24,3,33,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0,0.0,5.98,0
420,239817,Boubakary Soumaré,2,Leicester,Ing,25,5,138,0.2,0.2,0.4,0.2,0.0,0.2,0.2,0.06,-0.06,0.04,1,0.06,6.18,0
421,246242,Boulaye Dia,10,Villarreal,Esp,27,25,1267,1.5,0.7,0.4,0.5,0.3,0.8,1.3,5.42,-0.42,0.39,37,0.15,6.62,5
425,0,Boy Kemper,2,NAC Breda,Ned,25,11,975,0.7,0.5,0.5,1.5,0.0,0.5,1.4,0.95,-0.95,0.09,8,0.12,6.77,0
426,241693,Boyd Lucassen,5,NAC Breda,Ned,26,8,501,0.4,0.3,0.1,1.0,0.4,0.3,1.1,0.28,0.72,0.05,3,0.09,6.58,1
427,0,Boyd Reith,2,Sparta Rotterdam,Ned,25,10,761,0.3,1.4,0.7,0.7,0.0,0.3,0.7,0.2,-0.2,0.02,3,0.07,6.78,0
428,231410,Bradley Barcola,10,PSG,Fra,22,11,751,3.1,1.5,1.8,0.7,0.2,0.6,2.5,7.01,2.99,0.84,34,0.21,7.83,10
429,235944,Brais Méndez,10,Celta Vigo,Esp,27,37,3036,1.5,0.9,0.9,1.5,0.2,1.3,2.1,4.14,-0.14,0.12,56,0.07,6.83,4
430,231410,Brajan Gruda,5,Brighton,Ing,20,4,59,0.0,0.5,0.3,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,0.0,6.13,0
431,193091,Bram Nuytinck,2,NEC Nijmegen,Ned,34,11,879,0.5,0.2,0.0,0.3,0.1,0.0,0.5,0.89,0.11,0.09,6,0.15,6.89,1
432,229158,Branco van den Boomen,2,Ajax,Ned,29,7,416,1.6,1.1,0.6,0.3,0.0,0.6,0.3,1.19,-1.19,0.26,11,0.11,6.81,0
433,231410,Brandon Aguilera,5,Rio Ave,Por,21,9,229,0.8,0.3,0.2,0.7,0.0,0.3,1.9,0.43,0.57,0.17,7,0.06,6.25,1
