,nom_jugad,num_pos,equipo,liga,edad,apariciones_totales,min_jugados,tirosXp,pasesXp,regatesXp,faltadoXp,fuerajuegoXp,robadoXp,malcontroXp,goles_esperados,xGDiff,xG/90,total_disparos,xG/Shots,rating
1156,Hamzat Ojediran,5,Lens,Fra,20,5,192,1.0,0.2,0.4,0.2,0.0,0.0,0.6,0.82,0.18,0.38,5,0.16,6.73
238,Angel Gomes,10,Lille,Fra,24,10,616,0.7,1.3,0.5,0.8,0.0,0.2,0.9,1.65,-0.65,0.24,7,0.24,6.61
586,Cristian Tello,5,Real Betis,Esp,33,23,807,1.3,0.7,0.4,0.2,0.2,0.6,0.6,1.97,0.03,0.22,29,0.07,6.42
1471,John Guidetti,10,Deportivo Alaves,Esp,32,10,274,1.0,0.4,0.4,0.3,0.3,0.2,0.6,0.71,-0.71,0.23,10,0.07,6.12
2484,Noa Lang,10,PSV Eindhoven,Ned,25,10,533,1.4,1.0,0.8,0.8,0.1,1.0,1.1,1.34,0.66,0.23,14,0.1,7.01
787,Dylan Mbayo,5,PEC Zwolle,Ned,23,12,591,0.8,0.8,1.1,1.6,0.2,0.7,1.4,2.29,0.71,0.35,10,0.23,6.71
994,Franco Carboni,2,Venezia,Ita,21,2,7,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,6.19
2574,Oussama Idrissi,5,Cadiz,Esp,28,12,910,1.8,1.8,1.9,0.3,0.2,1.3,1.3,2.1,-1.1,0.21,21,0.1,6.79
3403,Yunus Konak,2,Brentford,Ing,18,4,18,0.3,0.0,0.0,0.0,0.0,0.8,0.5,0.11,-0.11,0.55,1,0.11,5.99
3088,Sven Bouland,2,FC Groningen,Ned,18,1,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.73
3057,Stanislav Lobotka,2,Napoli,Ita,29,8,642,0.3,0.8,0.5,1.0,0.0,0.4,0.6,0.12,-0.12,0.02,2,0.06,6.73
735,Diego Coppola,2,Verona,Ita,20,11,857,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.06,-0.06,0.01,1,0.06,6.43
